Column1,Column2,Column3,Column4
, 10-UNDECENOIC ACID," &diams; 10-UNDECENOIC ACID<br />&diams; 10-HENDECENOIC ACI<br />&diams; HENDECENOIC ACID, OMEGA-<br />&diams; UNDECENOIC ACID, OMEGA-", FLAVORING AGENT OR ADJUVANT
, 11-DODECENOIC ACID," &diams; 11-DODECENOIC ACID<br />&diams; InChI=1S/C12H22O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2H,1,3-11H2,(H,13,14)<br />&diams; InChIKey: GZZPOFFXKUVNSW-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 12-METHYLTRIDECANAL," &diams; 12-METHYLTRIDECANAL<br />&diams; TRIDECANAL, 12-METHYL-", FLAVORING AGENT OR ADJUVANT
, 1-AMINO-2-PROPANOL," &diams; 1-AMINO-2-PROPANOL<br />&diams; MONOISOPROPANOLAMINE<br />&diams; 2-PROPANOL, 1-AMINO-<br />&diams; 2-AMINO-1-METHYLETHANOL<br />&diams; 2-HYDROXY-1-PROPYLAMINE<br />&diams; 1-AMINO-2-PROPANOL, DL-<br />&diams; ALPHA-AMINOISOPROPYL ALCOHOL<br />&diams; BETA-AMINOISOPROPANOL<br />&diams; 1-AMINO-2-HYDROXYPROPANE<br />&diams; 1-METHYL-2-AMINOETHANOL<br />&diams; 1-AMINO-2-PROPANOL, (RS)-<br />&diams; THREAMINE<br />&diams; InChI=1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3<br />&diams; InChIKey:HXKKHQJGJAFBHI-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 1-BUTANETHIOL," &diams; 1-BUTANETHIOL<br />&diams; BUTYL MERCAPTAN<br />&diams; BUTANETHIOL<br />&diams; BUTYLTHIOL<br />&diams; THIOBUTYL ALCOHOL<br />&diams; 1-MERCAPTOBUTANE<br />&diams; InChI=1S/C4H10S/c1-2-3-4-5/h5H,2-4H2,1H3<br />&diams; InChIKey:WQAQPCDUOCURKW-UHFFFAOYSA-N"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, 1-BUTEN-1-YL METHYL SULFIDE," &diams; 1-BUTENYL METHYL SULFIDE<br />&diams; SULFIDE, 1-BUTENYL METHYL<br />&diams; 1-BUTEN-1-YL METHYL SULFIDE<br />&diams; 1-BUTENE, 1-(METHYLTHIO)-<br />&diams; 1-(METHYLTHIO)-1-BUTENE", FLAVORING AGENT OR ADJUVANT
, 1-DECEN-3-OL, &diams; 1-DECEN-3-OL<br />&diams; 3-HYDROXY-1-DECENE, FLAVORING AGENT OR ADJUVANT
, N-DODECYLMERCAPTAN," &diams; 1-DODECANETHIOL<br />&diams; DODECYL MERCAPTAN<br />&diams; LAURYL MERCAPTAN<br />&diams; DODECYL MERCAPTAN, PRIMARY<br />&diams; DODECYLTHIOL<br />&diams; DODECANETHIOL, NORMAL<br />&diams; InChI=1S/C12H26S/c1-2-3-4-5-6-7-8-9-10-11-12-13/h13H,2-12H2,1H3<br />&diams; InChIKey: WNAHIZMDSQCWRP-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, (+/-)-1-ACETOXY-1-ETHOXYETHANE," &diams; 1-ETHOXYETHYL ACETATE<br />&diams; ACETIC ACID, 1-ETHOXYETHYL ESTER<br />&diams; 1-ETHOXY-1-ETHYL ACETATE<br />&diams; 1-acetoxy-1-ethoxyethane<br />&diams; InChI=1S/C6H12O3/c1-4-8-6(3)9-5(2)7/h6H,4H2,1-3H3<br />&diams; InChIKey: FAIARWOGQAQTPS-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 1-ETHYL-2-ACETYLPYRROLE," &diams; 1-ETHYL-2-ACETYLPYRROLE<br />&diams; ETHANONE, 1-(1-ETHYL-1H-PYRROL-2-YL)-<br />&diams; N-ETHYL-2-ACETYLPYRROLE<br />&diams; 1-(1-ETHYLPYRROL-2-YL)ETHANONE<br />&diams; 1-ETHYL-2-ACETYLAZOLE<br />&diams; 1-N-ETHYLPYRROLE-2-YL ETHANONE<br />&diams; 1-(1-ETHYL-1H-PYRROL-2-YL)ETHANONE", FLAVORING AGENT OR ADJUVANT
, 3-OCTYL BUTYRATE," &diams; 1-ETHYLHEXYL BUTANOATE<br />&diams; butanoic acid, 1-ethylhexyl ester<br />&diams; 3-octanol, butyrate<br />&diams; 3-octyl butyrate<br />&diams; butyric acid, 1-ethylhexyl ester<br />&diams; 1-ethylhexyl butyrate<br />&diams; InChI=1S/C12H24O2/c1-4-7-8-10-11(6-3)14-12(13)9-5-2/h11H,4-10H2,1-3H3<br />&diams; InChIKey: USSKZVIXWTWCGK-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 1-ETHYLHEXYL TIGLATE," &diams; 1-ETHYLHEXYL TIGLATE<br />&diams; 1-ETHYLHEXYL 2-METHYL-2-BUTENOATE, (E)-<br />&diams; 1-ETHYLHEXYL 2-METHYLCROTONATE<br />&diams; 3-OCTYL TIGLATE<br />&diams; 3-OCTYL TRANS-2-METHYL-2-BUTENOATE<br />&diams; 3-OCTYL 2-METHYLCROTONATE<br />&diams; 2-BUTENOIC ACID, 2-METHYL-, 1-ETHYLHEXYL ESTER, (E)-", FLAVORING AGENT OR ADJUVANT
, 1-ETHYL-2-PYRROLECARBOXALDEHYDE," &diams; 1-ETHYLPYRROLE-2-CARBOXALDEHYDE<br />&diams; 1H-pyrrole-2-carboxaldehyde, 1-ethyl-<br />&diams; 1-ethyl-1H-pyrrole-2-carboxaldehyde<br />&diams; pyrrole-2-carboxaldehyde, 1-ethyl-<br />&diams; 1-ethyl-2-formylpyrrole<br />&diams; N-ethyl-2-formylpyrrole<br />&diams; 1-ethyl-2-pyrrolecarboxaldehyde<br />&diams; InChI=1S/C7H9NO/c1-2-8-5-3-4-7(8)6-9/h3-6H,2H2,1H3<br />&diams; InChIKey: DVLGEHCERRWDIX-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, N-FURFURYLPYRROLE," &diams; 1-FURFURYLPYRROLE<br />&diams; N-FURFURYLPYRROLE<br />&diams; 1-(2-FURFURYL)PYRROLE<br />&diams; 1H-PYRROLE, 1-(2-FURANYLMETHYL)-<br />&diams; 1-(2-FURANYLMETHYL)-1H-PYRROLE<br />&diams; PYRROLE, 1-FURFURYL-<br />&diams; N-(2-FURFURYL)PYRROLE", FLAVORING AGENT OR ADJUVANT
, (+/-)-1-HEPTEN-3-OL," &diams; 1-HEPTEN-3-OL<br />&diams; InChI=1S/C7H14O/c1-3-5-6-7(8)4-2/h4,7-8H,2-3,5-6H2,1H3<br />&diams; InChIKey: PZKFYTOLVRCMOA-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, HEXYLAMINE," &diams; 1-HEXANAMINE<br />&diams; N-HEXYLAMINE<br />&diams; HEXYLAMINE<br />&diams; InChIKey: BMVXCPBXGZKUPN-UHFFFAOYSA-N<br />&diams; InChI=1S/C6H15N/c1-2-3-4-5-6-7/h2-7H2,1H3", FLAVORING AGENT OR ADJUVANT
, 1-HEXANETHIOL," &diams; 1-HEXANETHIOL<br />&diams; HEXANETHIOL<br />&diams; HEXYL MERCAPTAN<br />&diams; 1-MERCAPTOHEXANE<br />&diams; InChI=1S/C6H14S/c1-2-3-4-5-6-7/h7H,2-6H2,1H3<br />&diams; InChIKey: PMBXCGGQNSVESQ-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 1-HEXEN-3-OL," &diams; 1-HEXEN-3-OL<br />&diams; 1-VINYLBUTAN-1-OL<br />&diams; VINYL PROPYL CARBINOL<br />&diams; PROPYL VINYL CARBINOL<br />&diams; 3-HYDROXY-1-HEXENE<br />&diams; 1-VINYLBUTANOL<br />&diams; InChI=1S/C6H12O/c1-3-5-6(7)4-2/h4,6-7H,2-3,5H2,1H3<br />&diams; InChIKey: BVOSSZSHBZQJOI-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 1-HYDROXY-2-BUTANONE," &diams; 1-HYDROXY-2-BUTANONE<br />&diams; ETHYL HYDROXYMETHYL KETONE<br />&diams; 2-BUTANONE, 1-HYDROXY-<br />&diams; 2-OXOBUTANOL", FLAVORING AGENT OR ADJUVANT
, HYDROXYACETONE," &diams; 1-HYDROXY-2-PROPANONE<br />&diams; HYDROXYACETONE<br />&diams; HYDROXYMETHYL METHYL KETONE<br />&diams; 2-PROPANONE, 1-HYDROXY-<br />&diams; 2-propanone, hydroxy-<br />&diams; hydroxy-2-propanone<br />&diams; InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3<br />&diams; InChIKey: XLSMFKSTNGKWQX-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 1-HYDROXY-4-METHYL-2-PENTANONE," &diams; 1-HYDROXY-4-METHYL-2-PENTANONE<br />&diams; 2-pentanone, 1-hydroxy-4-methyl-", FLAVORING AGENT OR ADJUVANT
, 5-(METHYLTHIO)PENTYL ISOTHIOCYANATE," &diams; 1-ISOTHIOCYANATO-5-(METHYLTHIO)PENTANE<br />&diams; 5-(METHYLTHIO)PENTYL ISOTHIOCYANATE<br />&diams; 5-METHYLTHIOPENTYL ISOTHIOCYANATE<br />&diams; pentane, 1-isothiocyanato-5-(methylthio)-<br />&diams; isothiocyanic acid, 5-(methylthio)pentyl ester<br />&diams; InChI=1S/C7H13NS2/c1-10-6-4-2-3-5-8-7-9/h2-6H2,1H3<br />&diams; InChIKey=HBVIMVJTUQNSEP-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 1-MERCAPTO-2-PROPANONE," &diams; 1-MERCAPTO-2-PROPANONE<br />&diams; MERCAPTOACETONE<br />&diams; 2-PROPANONE, 1-MERCAPTO-<br />&diams; 3-MERCAPTO-2-PROPANONE", FLAVORING AGENT OR ADJUVANT
, CIS- AND TRANS-L-MERCAPTO-P-MENTHAN-3-ONE," &diams; 1-MERCAPTO-P-MENTHAN-3-ONE<br />&diams; cyclohexane, 5-mercapto-5-methyl-2-(1-methylethyl)-<br />&diams; 5-mercapto-5-methyl-2-(1-methylethyl)cyclohexanone<br />&diams; p-menthan-3-one, 1-mercapto-, (+)-<br />&diams; 1-mercapto-p-menthan-3-one, (+)-<br />&diams; InChI=1S/C10H18OS/c1-7(2)8-4-5-10(3,12)6-9(8)11/h7-8,12H,4-6H2,1-3H3<br />&diams;  InChIKey: LCFWUUYRTYROGC-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, TRANS- AND CIS-1-METHOXY-1-DECENE," &diams; 1-METHOXY-1-DECENE<br />&diams; 1-decene, 1-methoxy-", FLAVORING AGENT OR ADJUVANT
, (S1)-METHOXY-3-HEPTANETHIOL," &diams; 1-METHOXY-3-HEPTANETHIOL, (3S)-<br />&diams; 3-heptanethiol, 1-methoxy-, (3S)-", FLAVORING AGENT OR ADJUVANT
, 1-METHYL-2-ACETYLPYRROLE," &diams; 1-METHYL-2-ACETYLPYRROLE<br />&diams; ETHANONE, 1-(1-METHYL-1H-PYRROL-2-YL)-<br />&diams; METHYL 1-METHYLPYRROL-2-YL KETONE<br />&diams; KETONE, METHYL 1-METHYLPYRROL-2-YL<br />&diams; 1-(1-METHYL-1H-PYRROL-2-YL)ETHANONE<br />&diams; 2-ACETYL-1-METHYLPYRROLE", FLAVORING AGENT OR ADJUVANT
, 1-METHYLNAPHTHALENE," &diams; 1-METHYLNAPHTHALENE<br />&diams; ALPHA-METHYLNAPHTHALENE<br />&diams; NAPHTHALENE, 1-METHYL-", FLAVORING AGENT OR ADJUVANT
, 1-METHYL-1H-PYRROLE-2-CARBOXALDEHYDE," &diams; 1-METHYLPYRROLE-2-CARBOXALDEHYDE<br />&diams; 1H-pyrrole-2-carboxaldehyde, 1-methyl-<br />&diams; pyrrole-2-carboxaldehyde, 1-methyl-<br />&diams; 1-methyl-1H-pyrrole-2-carboxaldehyde<br />&diams; 1-methyl-2-pyrrolecarboxaldehyde<br />&diams; 2-formyl-1-methylpyrrole<br />&diams; N-methylpyrrole-2-carboxaldehyde<br />&diams; InChI=1S/C6H7NO/c1-7-4-2-3-6(7)5-8/h2-5H,1H3<br />&diams; InChIKey: OUKQTRFCDKSEPL-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 1-NONENE, &diams; 1-NONENE<br />&diams; n-non-1-ene, FLAVORING AGENT OR ADJUVANT
, (R)-(-)-1-OCTEN-3-OL," &diams; 1-OCTEN-3-OL, (R)-<br />&diams; 1-octen-3-ol, (3R)-<br />&diams; 1-octen-3-ol, (-)-<br />&diams; InChI=1S/C8H16O/c1-3-5-6-7-8(9)4-2/h4,8-9H,2-3,5-7H2,1H3/t8-/m1/s1<br />&diams; InChIKey: VSMOENVRRABVKN-MRVPVSSYSA-N", FLAVORING AGENT OR ADJUVANT
, 1-OCTEN-3-OL, &diams; 1-OCTEN-3-OL<br />&diams; AMYL VINYL CARBINOL<br />&diams; MATSUICA ALCOHOL<br />&diams; 3-OCTENOL<br />&diams; PENTYL VINYL CARBINOL<br />&diams; 3-HYDROXY-1-OCTENE<br />&diams; 1-VINYLHEXANOL, FLAVORING AGENT OR ADJUVANT
, 1-OCTEN-3-ONE, &diams; 1-OCTEN-3-ONE<br />&diams; AMYL VINYL KETONE<br />&diams; VINYL AMYL KETONE, FLAVORING AGENT OR ADJUVANT
, 1-OCTEN-3-YL ACETATE," &diams; 1-OCTEN-3-YL ACETATE<br />&diams; AMYL VINYL CARBINYL ACETATE<br />&diams; 3-ACETOXYOCTENE<br />&diams; PENTYL VINYL CARBINOL ACETATE<br />&diams; AMYL CROTONYL ACETATE<br />&diams; PENTYL CROTONYL ACETATE<br />&diams; BETA-OCTENYL ACETATE<br />&diams; OCTENYL ACETATE<br />&diams; 1-OCTEN-3-OL, ACETATE<br />&diams; 1-PENTYLALLYL ACETATE<br />&diams; 3-ACETOXY-1-OCTENE", FLAVORING AGENT OR ADJUVANT
, 1-OCTEN-3-YL BUTYRATE," &diams; 1-OCTEN-3-YL BUTYRATE<br />&diams; BUTANOIC ACID, 1-ETHENYLHEXYL ESTER<br />&diams; BUTYRIC ACID, 1-PENTYLALLYL ESTER<br />&diams; 1-ETHENYLHEXYL BUTANOATE<br />&diams; 1-PENTYLALLYL BUTYRATE<br />&diams; 1-OCTEN-3-OL, BUTYRATE<br />&diams; 1-OCTEN-3-OL BUTYRATE", FLAVORING AGENT OR ADJUVANT
, 1-OCTENE, &diams; 1-OCTENE<br />&diams; CAPRYLENE<br />&diams; alpha-octene, FLAVORING AGENT OR ADJUVANT
, 1-OCTENYL SUCCINIC ANHYDRIDE," &diams; 1-OCTENYLSUCCINIC ANHYDRIDE<br />&diams; DIHYDRO-3-(1-OCTENYL)-2,5-FURANDIONE<br />&diams; SUCCINIC ANHYDRIDE, (1-OCTENYL)-<br />&diams; 2,5-FURANDIONE, DIHYDRO-3-(1-OCTENYL)-", DOUGH STRENGTHENER
, COCOA BUTTER SUBSTITUTE FROM PALM OIL," &diams; 1-PALMITO-3-STEARO-2-OLEIN<br />&diams; COCOA BUTTER SUBSTITUTE PRIMARILY FROM PALM OIL<br />&diams; OLEIN, 1-PALMITO-3-STEARO-2-<br />&diams; PALMITIN, 2-OLEO-3-STEARO-1-<br />&diams; STEARIN, 2-OLEO-3-PALMITO-1-<br />&diams; 1-PALMITOYL-2-OLEOYL-3-STEARIN<br />&diams; 2-OLEOPALMITOSTEARIN<br />&diams; 2-OLEO-3-STEARO-1-PALMITIN<br />&diams; 2-OLEO-3-PALMITO-1-STEARIN<br />&diams; 1-(((1-OXOHEXADECYL)OXY)METHYL)-2-((1-OXOOCTADECYL)OXY)ETHYL (Z)-9-OCTADECENOATE<br />&diams; 9-OCTADECENOIC ACID (Z)-, 1-(((1-OXOHEXADECYL)OXY)METHYL)-2-((1-OXOOCTADECYL)OXY)ETHYL ESTER"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> HUMECTANT,<br /> TEXTURIZER"
, 1-PENTANETHIOL," &diams; 1-PENTANETHIOL<br />&diams; AMYL MERCAPTAN<br />&diams; pentyl mercaptan<br />&diams; pentanethiol<br />&diams; InChI=1S/C5H12S/c1-2-3-4-5-6/h6H,2-5H2,1H3<br />&diams; InChIKey: ZRKMQKLGEQPLNS-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, 1-PENTEN-3-OL, &diams; 1-PENTEN-3-OL<br />&diams; ETHYL VINYL CARBINOL<br />&diams; VINYL ETHYL CARBINOL<br />&diams; ALPHA-ETHYLALLYL ALCOHOL<br />&diams; 1-ETHYLALLYL ALCOHOL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, 1-PENTEN-3-ONE, &diams; 1-PENTEN-3-ONE<br />&diams; ETHYL VINYL KETONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
," 1-PHENYL-1,2-PROPANEDIONE"," &diams; 1-PHENYL-1,2-PROPANEDIONE<br />&diams; ACETYL BENZOYL<br />&diams; BENZOYL METHYL KETONE<br />&diams; METHYL PHENYL DIKETONE<br />&diams; METHYL PHENYL GLYOXAL<br />&diams; PHENYL METHYL DIKETONE<br />&diams; PYRUVOPHENONE<br />&diams; 1,2-PROPANEDIONE, 1-PHENYL-", FLAVORING AGENT OR ADJUVANT
, 1-PHENYL-3 OR 5-PROPYLPYRAZOLE," &diams; 1-PHENYL-3(OR 5)-PROPYLPYRAZOLE<br />&diams; 1-PHENYL-3(OR 5)-PROPYL-1,2-DIAZOLE<br />&diams; 1H-PYRAZOLE, 1-PHENYL-3(OR 5)-PROPYL-<br />&diams; 1-PHENYL-3(OR 5)-PROPYL-1H-PYRAZOLE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, (+/-)-1-PHENYLETHYLMERCAPTAN," &diams; 1-PHENYLETHANETHIOL<br />&diams; benzenemethanethiol, alpha-methyl-<br />&diams; alpha-methylbenzenemethanethiol<br />&diams; alpha-toluenethiol, alpha-methyl-<br />&diams; alpha-methyl-alpha-toluenethiol<br />&diams; 1-phenylethyl mercaptan, (+-)-<br />&diams; alpha-methylbenzyl mercaptan<br />&diams; 1-phenylethylthiol", FLAVORING AGENT OR ADJUVANT
, ALPHA-ETHYL BENZYL BUTYRATE," &diams; 1-PHENYLPROPYL BUTYRATE<br />&diams; ALPHA-ETHYLBENZYL BUTYRATE<br />&diams; ALPHA-PHENYLPROPYL BUTYRATE<br />&diams; BUTANOIC ACID, 1-PHENYLPROPYL ESTER<br />&diams; BUTYRIC ACID, ALPHA-ETHYLBENZYL ESTER<br />&diams; ETHYL PHENYL CARBINYL BUTYRATE<br />&diams; 1-PHENYLPROPYL BUTANOATE<br />&diams; 1-PHENYL-1-PROPYL BUTYRATE", FLAVORING AGENT OR ADJUVANT
, P-MENTH-1-ENE-9-AL," &diams; 1-P-MENTHEN-9-AL<br />&diams; P-MENTH-1-EN-9-AL<br />&diams; 3-CYCLOHEXENE-1-ACETALDEHYDE, ALPHA,4-DIMETHYL-<br />&diams; ALPHA,4-DIMETHYL-3-CYCLOHEXENE-1-ACETALDEHYDE", FLAVORING AGENT OR ADJUVANT
, 1-P-MENTHEN-9-YL ACETATE," &diams; 1-P-MENTHEN-9-YL ACETATE<br />&diams; BETA,4-DIMETHYL-3-CYCLOHEXENE-1-ETHYL ACETATE<br />&diams; P-MENTH-1-EN-9-YL ACETATE<br />&diams; P-MENTH-1-EN-9-OL, ACETATE<br />&diams; 3-CYCLOHEXENE-1-ETHANOL, BETA,4-DIMETHYL-, ACETATE<br />&diams; 9-ACETOXY-1-P-MENTHENE", FLAVORING AGENT OR ADJUVANT
, 1-P-MENTHENE-8-THIOL," &diams; 1-P-MENTHENE-8-THIOL<br />&diams; ALPHA,ALPHA,4-TRIMETHYL-3-CYCLOHEXENE-1-METHANETHIOL<br />&diams; P-MENTH-1-EN-8-THIOL<br />&diams; 3-CYCLOHEXENE-1-METHANETHIOL, ALPHA,ALPHA,4-TRIMETHYL-", FLAVORING AGENT OR ADJUVANT
, ISOPROPENYL ACETATE," &diams; 1-PROPEN-2-YL ACETATE<br />&diams; ISOPROPENYL ACETATE<br />&diams; 1-propen-2-ol, acetate<br />&diams; 1-methylvinyl acetate", FLAVORING AGENT OR ADJUVANT
, 1-PYRROLINE," &diams; 1-PYRROLINE<br />&diams; 2H-PYRROLE, 3,4-DIHYDRO-<br />&diams; 3,4-DIHYDRO-2H-PYRROLE<br />&diams; DELTA1-PYRROLINE<br />&diams; ISOPYRROLINE", FLAVORING AGENT OR ADJUVANT
, 2-((METHYLTHIO)METHYL)-2-BUTENAL," &diams; 2-((METHYLTHIO)METHYL)-2-BUTENAL<br />&diams; 2-ETHYLIDENE METHIONAL<br />&diams; 2-BUTENAL, 2-((METHYLTHIO)METHYL)-<br />&diams; 2-(METHYLMERCAPTO)METHYL-2-BUTENAL", FLAVORING AGENT OR ADJUVANT
, (+/-)-ACETALDEHYDE ETHYL ISOPROPYL ACETAL," &diams; 2-(1-ETHOXY)ETHOXYPROPANE<br />&diams; propane, 2-(1-ethoxyethoxy)-<br />&diams; 2-(1-ethoxyethoxy)propane<br />&diams; acetaldehyde, ethyl isopropyl acetal<br />&diams; ethyl isopropyl acetal acetaldehyde<br />&diams; ethane, 1-ethoxy-1-isopropoxy<br />&diams; 1-ethoxy-1-isopropoxyethane<br />&diams; acetaldehyde ethyl isopropyl acetal", FLAVORING AGENT OR ADJUVANT
, 2-(1-METHYLPROPYL)THIAZOLE," &diams; 2-(1-METHYLPROPYL)THIAZOLE<br />&diams; THIAZOLE, 2-(1-METHYLPROPYL)-<br />&diams; THIAZOLE, 2-SEC-BUTYL-<br />&diams; 2-SEC-BUTYLTHIAZOLE", FLAVORING AGENT OR ADJUVANT
, 2-[2-(P-MENTHYLOXY)ETHOXY]ETHANOL," &diams; 2-(2-(P-METHYLOXY)ETHOXY)ETHANOL<br />&diams; ethanol, 2-(2-(p-menthyloxy)ethoxy)-", FLAVORING AGENT OR ADJUVANT
," 2-(2-BUTYL)-4,5-DIMETHYL-3-THIAZOLINE"," &diams; 2-(2-BUTYL)-4,5-DIMETHYL-3-THIAZOLINE<br />&diams; THIAZOLE, 2,5-DIHYDRO-4,5-DIMETHYL-2-(1-METHYLPROPYL)-<br />&diams; 2-SEC-BUTYL-4,5-DIMETHYL-3-THIAZOLINE<br />&diams; 2,5-DIHYDRO-4,5-DIMETHYL-2-(1-METHYLPROPYL)THIAZOLE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, 2-(2-HYDROXY-4-METHYL-3-CYCLOHEXENYL)PROPIONIC ACID GAMMA-LACTONE," &diams; 2-(2-HYDROXY-4-METHYL-3-CYCLOHEXENYL)PROPIONIC ACID GAMMA-LACTONE<br />&diams; 2(3H)-benzofuranone, 3a,4,5,7a-tetrahydro-3, 6-dimethyl-<br />&diams; 3a,4,5,7a-tetrahydro-3,6-dimethylbenzofuran-2(3H)-one", FLAVORING AGENT OR ADJUVANT
, 2-(2-HYDROXYPHENYL) CYCLOPROPANECARBOXYLIC ACID DELTA LACTONE," &diams; 2-(2-HYDROXYPHENYL)CYCLOPROPANECARBOXYLIC ACID DELTA-LACTONE<br />&diams; benzo(b)cyclopropa(d)pyran-6(6aH)-one, 7,7a-dihydro-<br />&diams; 7,7a-dihydrobenzo(b)cyclopropa(d)pyran-6(6aH)-one<br />&diams; benzo(b)cyclopropa(d)pyran-2(1aH)-one, 1,7b-dihydro-<br />&diams; 1,7b-dihydrobenzo(b)cyclopropa(d)pyran-2(1aH)-one<br />&diams; cyclopropanecarboxylic acid, 2-(2-hydroxyphenyl)-, delta-lactone<br />&diams; InChI=1S/C10H8O2/c11-10-8-5-7(8)6-3-1-2-4-9(6)12-10/h1-4,7-8H,5H2<br />&diams; InChIKey: BSNSPNHWEMGXBT-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
, BETA-NAPHTHYL ISOBUTYL ETHER," &diams; 2-(2-METHYLPROPOXY)NAPHTHALENE<br />&diams; 2-ISOBUTOXYNAPHTHALENE<br />&diams; 2-NAPHTHYL ISOBUTYL ETHER<br />&diams; BETA-NAPHTHYL ISOBUTYL ETHER<br />&diams; ISOBUTYL 2-NAPHTHYL ETHER<br />&diams; ISOBUTYL BETA-NAPHTHYL ETHER<br />&diams; NAPHTHALENE, 2-(2-METHYLPROPOXY)-<br />&diams; NAPHTHALENE, 2-ISOBUTOXY-"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
, (E)-2-(2-OCTENYL)CYCLOPENTANONE," &diams; 2-(2-OCTENYL)CYCLOPENTANONE, TRANS-<br />&diams; CYCLOPENTANONE, 2-(2-OCTENYL)-, (E)-<br />&diams; 2-(2-OCTENYL)CYCLOPENTANONE, (E)-", FLAVORING AGENT OR ADJUVANT
," 2-PENTENYL-4-PROPYL-1,3-OXATHIANE (MIXTURE OF ISOMERS)"," &diams; 2-(2-PENTENYL)-4-PROPYL-1,3-OXATHIANE<br />&diams; 1,3-oxathiane, 2-(2-penten-1-yl)-4-propyl-<br />&diams; 2-(2-penten-1-yl)-4-propyl-1,3-oxathiane", FLAVORING AGENT OR ADJUVANT
, 2-(TRANS-2-PENTENYL)CYCLOPENTANONE," &diams; 2-(2-PENTENYL)CYCLOPENTANONE, TRANS-<br />&diams; cyclopentanone, 2-(2E)-2-penten-1-yl-<br />&diams; 2-(2E)-2-penten-1-ylcyclopentanone<br />&diams; cyclopentanone, 2-(2E)-2-pentenyl-<br />&diams; 2-(2E)-2-pentenylcyclopentanone<br />&diams; 2-(trans-2-pentenyl)cyclopentanone<br />&diams; InChI=1S/C10H16O/c1-2-3-4-6-9-7-5-8-10(9)11/h3-4,9H,2,5-8H2,1H3/b4-3+<br />&diams; InChIKey: ZIJOSCABGITYIL-ONEGZZNKSA-N", FLAVORING AGENT OR ADJUVANT
, 2-(3-PHENYLPROPYL)PYRIDINE," &diams; 2-(3-PHENYLPROPYL)PYRIDINE<br />&diams; ALPHA-(3-PHENYLPROPYL)PYRIDINE<br />&diams; PYRIDINE, 2-(3-PHENYLPROPYL)-", FLAVORING AGENT OR ADJUVANT
, 2-(3-PHENYLPROPYL)TETRAHYDROFURAN," &diams; 2-(3-PHENYLPROPYL)TETRAHYDROFURAN<br />&diams; ALPHA-(3-PHENYLPROPYL)TETRAHYDROFURAN<br />&diams; FURAN, TETRAHYDRO-2-(3-PHENYLPROPYL)-<br />&diams; TETRAHYDRO-2-(3-PHENYLPROPYL)FURAN<br />&diams; 2-HYDROCINNAMYLTETRAHYDROFURAN", FLAVORING AGENT OR ADJUVANT
, 2-(4-METHYL-5-THIAZOLYL)ETHYL BUTANOATE," &diams; 2-(4-METHYL)-5-THIAZOLYL)ETHYL BUTANOATE<br />&diams; butanoic acid, 2-(4-methyl)-5-thizolyl)ethyl ester<br />&diams; 4-methyl-5-thiazoleethanol butanoate<br />&diams; InChI=1S/C10H15NO2S/c1-3-4-10(12)13-6-5-9-8(2)11-7-14-9/h7H,3-6H2,1-2H3<br />&diams; InChIKey: GDRZNYCKSKHESZ-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT
